,0,1,2,3,4,5,6,7,8,9
0,17.8,17.8,17.0,18.9,22.1,20.3,20.3,20.3,20.3,20.3
1,17.0,16.3,15.8,17.0,50.9,50.9,42.7,36.3,36.3,36.3
2,15.1,15.1,17.0,16.3,22.1,22.1,22.1,20.3,22.1,22.1
3,14.8,14.8,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8
4,15.4,15.1,75.2,61.6,61.6,61.6,61.6,75.2,92.8,92.8
5,15.1,14.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0
6,15.8,15.8,20.3,20.3,18.9,20.3,22.1,42.7,42.7,42.7
7,14.8,14.8,17.0,17.0,17.0,17.0,17.0,27.5,27.5,27.5
8,15.4,24.5,22.1,20.3,20.3,18.9,18.9,17.8,17.8,17.8
9,14.5,75.2,61.6,75.2,61.6,50.9,50.9,50.9,50.9,50.9
10,14.5,17.8,17.0,50.9,42.7,36.3,36.3,36.3,36.3,36.3
11,16.3,15.8,15.4,18.9,17.8,17.8,20.3,20.3,20.3,20.3
12,22.1,22.1,20.3,18.9,17.8,17.8,42.7,36.3,36.3,36.3
13,20.3,20.3,17.8,17.8,17.8,17.0,20.3,20.3,20.3,20.3
14,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
15,61.6,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5
16,50.9,42.7,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5
17,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
18,50.9,50.9,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5
19,27.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,18.9,18.9
20,31.3,31.3,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3
21,24.5,22.1,20.3,20.3,20.3,42.7,42.7,36.3,36.3,36.3
22,18.9,17.8,17.0,17.0,17.0,31.3,31.3,31.3,31.3,31.3
23,22.1,20.3,18.9,17.8,17.8,17.8,17.8,22.1,22.1,22.1
24,24.5,22.1,20.3,20.3,18.9,17.8,17.8,22.1,22.1,22.1
25,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.8
26,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
27,61.6,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5
28,230.4,144.6,115.5,115.5,92.8,92.8,75.2,61.6,61.6,61.6
29,27.5,24.5,22.1,22.1,22.1,20.3,20.3,18.9,18.9,18.9
30,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3
31,144.6,115.5,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9
32,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5
33,115.5,92.8,61.6,61.6,50.9,50.9,50.9,42.7,42.7,42.7
34,92.8,61.6,61.6,50.9,50.9,36.3,36.3,36.3,36.3,36.3
35,61.6,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5
36,144.6,144.6,115.5,92.8,92.8,61.6,61.6,61.6,61.6,61.6
37,92.8,75.2,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3
38,92.8,75.2,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3
39,230.4,230.4,144.6,144.6,115.5,92.8,92.8,92.8,92.8,92.8
40,50.9,42.7,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5
41,31.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
42,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.8,18.9,18.9
43,36.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,22.1,22.1
44,31.3,27.5,24.5,24.5,27.5,24.5,24.5,24.5,24.5,24.5
45,18.9,17.8,17.0,17.0,18.9,20.3,20.3,18.9,18.9,18.9
46,17.8,17.8,17.0,17.0,17.8,31.3,27.5,27.5,27.5,27.5
47,17.8,17.0,16.3,17.0,17.0,17.8,17.8,17.8,17.8,17.8
