,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,20.3,18.9,17.8,17.0,17.0,17.0,16.3,15.8,16.3,16.3,17.0,17.8,17.8,17.8,17.0,17.8,17.8,17.8,17.8,18.9,17.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,18.9,18.9,18.9,18.9
1,17.0,15.8,15.8,15.4,15.4,22.1,22.1,20.3,20.3,18.9,20.3,20.3,18.9,18.9,18.9,20.3,20.3,18.9,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,18.9,20.3,20.3,20.3,18.9,20.3,20.3
2,16.3,15.8,15.4,15.1,16.3,17.8,17.8,17.0,17.8,17.8,17.8,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,20.3,20.3,18.9,18.9,18.9,20.3,20.3
3,15.8,15.4,15.1,15.1,22.1,20.3,20.3,17.8,17.8,17.8,17.8,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3
4,15.4,14.8,14.8,15.4,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,20.3,18.9,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3
5,14.6,14.5,14.5,17.0,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,17.8,20.3,20.3,18.9,20.3,18.9,20.3,18.9,20.3,18.9,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
6,14.4,14.3,15.8,16.3,16.3,15.8,15.8,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
7,14.3,14.3,24.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,18.9,17.8,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,20.3,18.9,20.3,20.3,20.3,20.3,18.9,18.9,18.9,20.3,20.3,20.3,20.3,20.3
8,14.2,15.8,17.0,16.3,15.8,22.1,20.3,20.3,18.9,17.8,18.9,17.8,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3
9,14.2,42.7,36.3,31.3,31.3,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,20.3,20.3,18.9,18.9,18.9,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,18.9,18.9,20.3,20.3
10,14.6,24.5,22.1,20.3,20.3,17.8,17.8,17.0,17.8,17.0,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
11,17.8,17.8,17.0,17.0,16.3,15.8,22.1,20.3,20.3,20.3,18.9,18.9,18.9,17.8,20.3,18.9,18.9,18.9,18.9,20.3,18.9,20.3,18.9,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
12,22.1,20.3,18.9,17.8,17.8,17.0,20.3,18.9,18.9,17.8,17.8,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,20.3,18.9,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,18.9,18.9,20.3,20.3,20.3
13,22.1,20.3,18.9,17.8,17.8,17.0,17.0,17.0,20.3,20.3,18.9,20.3,20.3,18.9,18.9,18.9,20.3,20.3,20.3,20.3,18.9,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3
14,27.5,24.5,22.1,20.3,20.3,18.9,17.8,17.8,20.3,18.9,18.9,18.9,17.8,18.9,18.9,17.8,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
15,50.9,36.3,31.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,18.9,18.9,18.9,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
16,27.5,22.1,22.1,20.3,18.9,17.8,17.8,20.3,20.3,18.9,18.9,17.8,20.3,20.3,20.3,18.9,18.9,18.9,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3
17,22.1,20.3,17.8,17.8,17.0,17.0,16.3,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,18.9,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3
18,31.3,24.5,22.1,22.1,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,18.9,20.3,20.3
19,20.3,17.8,17.0,17.0,16.3,18.9,17.8,17.8,17.0,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,18.9,20.3,20.3
20,22.1,20.3,17.8,17.8,17.0,20.3,20.3,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,18.9,17.8,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
21,17.0,16.3,16.3,17.0,16.3,27.5,27.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
22,15.8,15.4,17.0,17.0,17.0,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,20.3,20.3,20.3,18.9,18.9,18.9,18.9,20.3,18.9,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
23,17.0,16.3,16.3,16.3,17.0,17.0,17.0,17.8,17.0,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9
24,20.3,18.9,17.8,17.0,17.0,17.0,17.0,17.8,17.8,18.9,18.9,18.9,18.9,17.8,18.9,17.8,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,18.9,18.9
25,31.3,24.5,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.8,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
26,20.3,17.8,17.0,22.1,20.3,18.9,18.9,17.8,17.8,17.8,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
27,17.0,16.3,15.8,36.3,36.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
28,20.3,17.8,17.8,17.0,17.0,16.3,16.3,20.3,20.3,18.9,18.9,17.8,20.3,18.9,18.9,18.9,18.9,17.8,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
29,15.8,15.4,36.3,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3
30,17.0,15.8,20.3,18.9,17.8,17.8,17.0,17.0,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9
31,31.3,27.5,24.5,22.1,22.1,20.3,20.3,17.8,22.1,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,20.3,18.9,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
32,50.9,36.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,20.3,20.3,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,20.3,20.3,20.3
