,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,27.5,24.5,22.1,20.3,20.3,18.9,22.1,22.1,20.3,22.1,22.1,22.1,24.5,24.5,24.5,24.5,27.5,27.5,24.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5
1,20.3,18.9,17.8,17.8,17.8,17.0,42.7,36.3,36.3,31.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
2,22.1,20.3,17.8,18.9,18.9,20.3,20.3,20.3,22.1,20.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,27.5,31.3,31.3,27.5,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3
3,17.0,15.8,16.3,17.0,17.0,50.9,42.7,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
4,15.8,15.4,20.3,18.9,17.8,24.5,24.5,22.1,22.1,22.1,31.3,27.5,27.5,24.5,24.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
5,15.4,14.8,61.6,61.6,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,27.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3
6,14.2,75.2,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
7,14.5,24.5,24.5,22.1,22.1,20.3,20.3,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
8,14.5,42.7,36.3,31.3,31.3,27.5,24.5,31.3,31.3,31.3,27.5,27.5,24.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
9,14.8,15.8,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,31.3,27.5,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
