,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,31.3,27.5,27.5,31.3,31.3,31.3
1,24.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,31.3,27.5,31.3,31.3,27.5,31.3,31.3,31.3
2,15.8,15.8,15.8,61.6,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,31.3,31.3,31.3,31.3
3,15.8,15.8,17.0,22.1,20.3,20.3,20.3,20.3,20.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,31.3,31.3,27.5,31.3,31.3,31.3,31.3
4,14.8,14.8,22.1,20.3,20.3,20.3,20.3,22.1,22.1,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3
5,14.8,14.8,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
6,15.8,17.0,16.3,15.8,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
7,14.6,20.3,20.3,18.9,24.5,24.5,22.1,22.1,22.1,22.1,22.1,24.5,22.1,24.5,24.5,27.5,24.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,31.3,31.3
8,14.6,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3
9,17.8,17.8,17.8,17.8,17.8,24.5,22.1,22.1,22.1,22.1,36.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,27.5,27.5,27.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3
10,17.0,17.0,16.3,22.1,22.1,22.1,22.1,20.3,22.1,22.1,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3
11,17.8,17.0,17.0,20.3,20.3,18.9,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,27.5,24.5,31.3,31.3,31.3,27.5,31.3,31.3,27.5,27.5,31.3,31.3,31.3
