,0,1,2,3,4,5,6,7,8
0,20.3,18.9,17.8,17.8,20.3,22.1,22.1,20.3,20.3
1,18.9,17.8,17.8,17.8,17.8,42.7,36.3,36.3,36.3
2,17.8,17.0,17.0,17.0,16.3,22.1,20.3,20.3,20.3
3,15.8,24.5,22.1,22.1,20.3,20.3,20.3,20.3,20.3
4,14.8,61.6,61.6,50.9,50.9,42.7,61.6,61.6,61.6
5,14.8,18.9,18.9,17.8,17.8,17.0,18.9,18.9,18.9
6,15.4,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3
7,14.8,20.3,61.6,61.6,50.9,50.9,50.9,42.7,42.7
8,15.1,14.8,24.5,24.5,22.1,22.1,20.3,20.3,20.3
9,15.8,15.8,17.0,42.7,36.3,36.3,31.3,31.3,31.3
10,15.8,15.8,15.8,36.3,36.3,36.3,36.3,31.3,31.3
11,17.0,16.3,16.3,17.8,31.3,31.3,36.3,36.3,36.3
12,17.8,17.0,16.3,16.3,18.9,17.8,20.3,20.3,20.3
13,24.5,22.1,22.1,20.3,20.3,20.3,18.9,18.9,18.9
14,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
15,50.9,42.7,36.3,31.3,31.3,31.3,27.5,27.5,27.5
16,50.9,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5
17,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
18,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
19,36.3,31.3,31.3,27.5,24.5,24.5,22.1,24.5,24.5
20,31.3,27.5,24.5,24.5,22.1,22.1,20.3,24.5,24.5
21,24.5,24.5,22.1,22.1,20.3,20.3,18.9,20.3,20.3
22,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
23,50.9,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5
24,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
25,36.3,31.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1
26,36.3,31.3,31.3,27.5,27.5,31.3,31.3,27.5,27.5
27,22.1,20.3,20.3,18.9,17.8,22.1,24.5,24.5,24.5
28,22.1,20.3,20.3,18.9,17.8,18.9,22.1,22.1,22.1
29,24.5,22.1,20.3,20.3,18.9,18.9,20.3,20.3,20.3
30,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
31,50.9,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5
32,75.2,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3
33,50.9,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5
34,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
35,92.8,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3
36,115.5,92.8,75.2,61.6,50.9,50.9,50.9,42.7,42.7
37,115.5,92.8,92.8,61.6,61.6,50.9,50.9,50.9,50.9
38,230.4,182.1,144.6,144.6,115.5,115.5,92.8,92.8,92.8
39,92.8,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3
40,92.8,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3
41,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
42,31.3,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3
43,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3
44,27.5,24.5,22.1,22.1,20.3,22.1,36.3,50.9,50.9
45,17.8,17.8,17.0,17.0,17.0,17.0,17.8,17.8,17.8
46,17.8,17.8,17.8,22.1,50.9,50.9,42.7,42.7,42.7
47,17.0,15.8,15.8,16.3,20.3,20.3,20.3,20.3,20.3
