,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,36.3,31.3,31.3,27.5,24.5,24.5,31.3,27.5,27.5,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
1,31.3,27.5,24.5,24.5,24.5,22.1,36.3,31.3,31.3,31.3,42.7,42.7,36.3,42.7,42.7,36.3,36.3,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,42.7,36.3,36.3,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,36.3,42.7,42.7
2,18.9,18.9,17.8,36.3,36.3,36.3,31.3,31.3,31.3,27.5,50.9,42.7,42.7,42.7,42.7,42.7,36.3,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,42.7,42.7,42.7,36.3,42.7,36.3,42.7,42.7,36.3,42.7,42.7,42.7,42.7,42.7,36.3,36.3,42.7,42.7
3,17.0,17.0,17.8,61.6,61.6,61.6,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,42.7,42.7,42.7,42.7,42.7,36.3,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7
4,17.8,17.0,20.3,22.1,22.1,27.5,24.5,31.3,31.3,27.5,31.3,31.3,42.7,42.7,42.7,42.7,42.7,36.3,42.7,36.3,36.3,36.3,36.3,36.3,42.7,42.7,36.3,36.3,36.3,36.3,42.7,36.3,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7
5,16.3,17.0,22.1,20.3,22.1,27.5,24.5,50.9,42.7,42.7,42.7,36.3,42.7,42.7,42.7,42.7,42.7,36.3,36.3,42.7,36.3,36.3,36.3,36.3,42.7,42.7,36.3,42.7,36.3,36.3,42.7,42.7,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,42.7,42.7,42.7,42.7
6,15.8,31.3,27.5,24.5,24.5,24.5,24.5,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,42.7,36.3,36.3,36.3,42.7,42.7,36.3,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,36.3,36.3,36.3,36.3
7,15.8,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,36.3,42.7,42.7,36.3,42.7,36.3,42.7,42.7,36.3,36.3,36.3,36.3,42.7,42.7,42.7,42.7,36.3,36.3,42.7,36.3,42.7,42.7,42.7,36.3,42.7,42.7,42.7,42.7,42.7
8,17.0,17.0,22.1,22.1,22.1,22.1,22.1,42.7,36.3,36.3,36.3,36.3,31.3,36.3,36.3,31.3,36.3,36.3,36.3,42.7,36.3,42.7,42.7,42.7,42.7,42.7,36.3,42.7,42.7,42.7,42.7,42.7,36.3,42.7,42.7,42.7,36.3,36.3,36.3,42.7,42.7,42.7,42.7,42.7
9,17.8,17.0,92.8,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,42.7,42.7,36.3,42.7,36.3,36.3,36.3,36.3,36.3,42.7,36.3,42.7,42.7,36.3,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7
10,17.8,17.8,17.0,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
