,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
0,14.8,14.2,14.0,14.3,14.2,14.2,14.5,14.2,14.3,14.4,14.3,14.4,14.3,14.5,14.3,14.5,14.3,14.4,14.4,14.3,14.4,14.3,14.4,14.4,14.3,14.5,14.4,14.3,14.4,14.4,14.3,14.4,14.4,14.3,14.5,14.3,14.4,14.4,14.3,14.5,14.4,14.3,14.3,14.4,14.3,14.4,14.3,14.5,14.4,14.4,14.4,14.3,14.4,14.3,14.4,14.4,14.3,14.4,14.4,14.4,14.3,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.3,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.3,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4
1,14.0,14.0,14.0,14.3,14.2,14.3,14.3,14.3,14.3,14.4,14.3,14.4,14.4,14.3,14.4,14.3,14.5,14.3,14.5,14.4,14.3,14.5,14.4,14.3,14.4,14.3,14.5,14.3,14.4,14.4,14.3,14.5,14.4,14.3,14.4,14.4,14.4,14.3,14.5,14.4,14.3,14.5,14.5,14.4,14.4,14.3,14.4,14.4,14.4,14.3,14.4,14.3,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.3,14.4,14.4
2,14.0,14.2,14.0,14.3,14.2,14.3,14.4,14.3,14.3,14.4,14.3,14.5,14.3,14.5,14.4,14.4,14.3,14.5,14.3,14.5,14.3,14.5,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
3,14.0,14.5,14.0,14.6,14.3,14.3,14.3,14.5,14.3,14.5,14.3,14.5,14.3,14.5,14.4,14.4,14.4,14.4,14.3,14.5,14.4,14.3,14.5,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
4,14.0,14.0,14.0,14.0,14.1,14.6,14.5,14.3,14.3,14.4,14.4,14.4,14.3,14.5,14.5,14.3,14.5,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.3,14.5,14.5,14.3,14.5,14.3,14.5,14.4,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
5,14.0,14.0,14.0,14.3,14.3,14.3,14.3,14.5,14.5,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.5,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
6,14.0,14.0,14.5,14.2,14.5,14.3,14.3,14.6,14.5,14.4,14.5,14.4,14.4,14.5,14.4,14.5,14.3,14.5,14.5,14.4,14.5,14.4,14.4,14.5,14.4,14.4,14.4,14.5,14.4,14.4,14.5,14.4,14.4,14.4,14.5,14.4,14.4,14.5,14.4,14.4,14.4,14.5,14.4,14.4,14.5,14.4,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.4,14.4,14.5,14.4,14.4,14.4,14.4,14.5,14.4,14.4,14.5,14.4,14.4,14.4,14.5,14.4,14.4,14.5,14.4,14.4,14.4,14.4,14.5,14.4,14.5,14.4,14.4,14.4,14.5,14.4,14.5,14.5,14.4,14.4,14.4,14.4
7,24.5,15.8,14.6,14.3,14.3,14.5,14.4,14.6,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.5,14.4,14.5,14.5,14.4,14.4,14.5,14.5,14.4,14.5,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.4,14.5,14.5,14.4,14.4,14.4,14.5,14.5,14.4,14.5,14.5,14.4,14.5,14.4,14.5,14.5,14.4,14.5,14.5,14.4,14.4,14.4,14.5,14.5,14.5
8,15.4,14.3,14.0,14.8,14.5,14.3,14.5,14.5,14.4,14.6,14.5,14.3,14.6,14.3,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.4,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.4,14.5,14.5,14.4,14.5,14.3,14.5,14.4,14.5,14.5,14.5,14.5,14.4,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.4,14.5,14.4,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.4,14.5,14.4,14.4,14.5,14.4,14.4,14.4
9,14.0,14.0,14.4,14.3,14.3,14.6,14.6,14.3,14.5,14.5,14.4,14.6,14.5,14.5,14.5,14.4,14.6,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.4,14.6,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.4,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.4,14.5,14.4,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.5
10,14.0,14.0,14.5,14.3,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.6,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.6,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.4,14.5,14.5,14.4,14.5,14.5,14.5,14.5
