,0,1,2,3,4,5
0,50.9,31.3,36.3,36.3,42.7,31.3
1,22.1,31.3,31.3,31.3,31.3,42.7
2,17.8,42.7,36.3,27.5,36.3,36.3
3,17.0,42.7,42.7,36.3,50.9,42.7
4,15.4,42.7,50.9,50.9,61.6,61.6
5,14.8,31.3,50.9,42.7,75.2,61.6
6,17.0,61.6,42.7,36.3,50.9,31.3
7,17.8,50.9,31.3,50.9,31.3,24.5
8,17.0,50.9,42.7,31.3,61.6,31.3
9,16.3,42.7,42.7,36.3,61.6,61.6
10,20.3,42.7,31.3,31.3,36.3,42.7
11,27.5,42.7,36.3,50.9,61.6,61.6
12,27.5,50.9,31.3,61.6,50.9,36.3
13,75.2,36.3,31.3,61.6,42.7,36.3
14,115.5,36.3,42.7,61.6,42.7,50.9
15,92.8,36.3,36.3,42.7,42.7,50.9
16,144.6,42.7,50.9,42.7,50.9,50.9
17,144.6,42.7,50.9,50.9,50.9,42.7
18,115.5,42.7,50.9,50.9,36.3,36.3
19,75.2,61.6,75.2,50.9,31.3,36.3
20,50.9,61.6,42.7,27.5,36.3,42.7
21,61.6,50.9,50.9,36.3,36.3,36.3
22,36.3,36.3,36.3,50.9,42.7,50.9
23,42.7,31.3,36.3,42.7,36.3,36.3
24,75.2,36.3,50.9,42.7,36.3,42.7
25,92.8,50.9,42.7,50.9,42.7,50.9
26,61.6,50.9,50.9,42.7,50.9,50.9
27,61.6,36.3,36.3,42.7,50.9,42.7
28,144.6,42.7,36.3,50.9,42.7,36.3
29,144.6,61.6,42.7,50.9,36.3,31.3
30,115.5,50.9,50.9,42.7,42.7,36.3
31,75.2,50.9,50.9,61.6,42.7,36.3
32,115.5,50.9,36.3,42.7,36.3,42.7
33,92.8,61.6,50.9,42.7,36.3,61.6
34,61.6,50.9,42.7,36.3,31.3,50.9
35,182.1,50.9,50.9,42.7,31.3,36.3
36,230.4,50.9,50.9,50.9,36.3,50.9
37,75.2,36.3,36.3,36.3,50.9,61.6
38,50.9,36.3,61.6,50.9,50.9,50.9
39,92.8,50.9,50.9,36.3,50.9,36.3
40,61.6,31.3,42.7,36.3,31.3,36.3
41,144.6,36.3,50.9,50.9,36.3,42.7
42,61.6,31.3,50.9,50.9,42.7,50.9
43,36.3,50.9,50.9,42.7,42.7,61.6
44,36.3,42.7,42.7,36.3,42.7,50.9
45,27.5,36.3,61.6,61.6,61.6,50.9
46,36.3,36.3,31.3,36.3,50.9,50.9
47,18.9,31.3,42.7,36.3,42.7,36.3
