,0,1,2,3,4,5
0,20.3,31.3,31.3,31.3,31.3,31.3
1,17.8,31.3,24.5,31.3,24.5,24.5
2,17.0,36.3,22.1,31.3,24.5,27.5
3,16.3,36.3,24.5,31.3,24.5,24.5
4,17.0,24.5,24.5,24.5,31.3,27.5
5,15.4,31.3,22.1,27.5,31.3,50.9
6,15.4,24.5,31.3,20.3,22.1,42.7
7,15.4,24.5,36.3,22.1,24.5,31.3
8,15.8,20.3,27.5,31.3,22.1,24.5
9,15.1,20.3,24.5,20.3,22.1,22.1
10,16.3,24.5,20.3,20.3,27.5,31.3
11,18.9,31.3,24.5,27.5,27.5,31.3
12,24.5,31.3,27.5,24.5,31.3,31.3
13,27.5,27.5,36.3,31.3,31.3,24.5
14,42.7,31.3,27.5,24.5,27.5,27.5
15,92.8,31.3,24.5,24.5,36.3,24.5
16,115.5,31.3,24.5,27.5,31.3,24.5
17,50.9,27.5,24.5,24.5,31.3,24.5
18,36.3,31.3,31.3,31.3,36.3,31.3
19,36.3,36.3,36.3,31.3,61.6,27.5
20,50.9,24.5,31.3,27.5,36.3,22.1
21,50.9,24.5,36.3,36.3,31.3,22.1
22,61.6,27.5,31.3,31.3,31.3,24.5
23,50.9,24.5,22.1,24.5,24.5,31.3
24,36.3,27.5,27.5,27.5,24.5,27.5
25,22.1,27.5,31.3,42.7,27.5,31.3
26,22.1,31.3,50.9,61.6,27.5,36.3
27,20.3,36.3,36.3,42.7,31.3,27.5
28,31.3,27.5,22.1,24.5,36.3,27.5
29,50.9,27.5,31.3,27.5,27.5,24.5
30,36.3,31.3,36.3,31.3,24.5,36.3
31,50.9,36.3,36.3,24.5,24.5,36.3
32,50.9,31.3,31.3,31.3,36.3,31.3
33,61.6,36.3,42.7,36.3,31.3,31.3
34,144.6,36.3,42.7,31.3,36.3,36.3
35,144.6,36.3,36.3,31.3,36.3,36.3
36,230.4,36.3,42.7,50.9,50.9,36.3
37,230.4,36.3,42.7,42.7,42.7,36.3
38,182.1,31.3,36.3,36.3,36.3,36.3
39,92.8,36.3,36.3,31.3,27.5,27.5
40,61.6,31.3,31.3,27.5,31.3,31.3
41,42.7,24.5,24.5,31.3,31.3,36.3
42,31.3,27.5,27.5,36.3,24.5,31.3
43,22.1,22.1,24.5,31.3,31.3,31.3
44,17.0,27.5,22.1,24.5,22.1,20.3
45,20.3,22.1,22.1,27.5,20.3,22.1
46,20.3,24.5,31.3,24.5,22.1,27.5
47,17.0,31.3,31.3,27.5,31.3,24.5
