,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,61.6,50.9,36.3,31.3,24.5,22.1,22.1,22.1,20.3,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
1,27.5,22.1,20.3,17.8,17.8,17.8,20.3,20.3,22.1,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5
2,15.1,14.8,14.6,16.3,18.9,18.9,20.3,22.1,22.1,22.1,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5
3,14.8,14.6,15.1,17.0,17.8,24.5,22.1,22.1,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
4,14.6,14.5,20.3,20.3,18.9,22.1,20.3,22.1,27.5,27.5,24.5,27.5,24.5,31.3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
5,16.3,15.8,17.0,20.3,18.9,22.1,22.1,24.5,24.5,24.5,24.5,27.5,27.5,27.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
6,14.4,14.8,20.3,18.9,20.3,22.1,22.1,24.5,22.1,31.3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
7,14.0,16.3,20.3,17.8,31.3,24.5,27.5,27.5,24.5,27.5,27.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
8,14.5,17.8,18.9,22.1,22.1,20.3,31.3,27.5,24.5,27.5,27.5,24.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5
9,16.3,20.3,17.8,36.3,31.3,31.3,27.5,24.5,24.5,31.3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
10,16.3,17.8,20.3,24.5,22.1,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,31.3,31.3,31.3,27.5,31.3,31.3
11,17.8,17.8,31.3,31.3,24.5,31.3,31.3,31.3,27.5,24.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3
12,50.9,36.3,31.3,24.5,24.5,27.5,24.5,24.5,27.5,27.5,31.3,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,27.5,27.5,27.5
13,50.9,36.3,27.5,24.5,31.3,27.5,27.5,24.5,31.3,31.3,31.3,27.5,27.5,31.3,27.5,27.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3
14,50.9,36.3,27.5,24.5,31.3,27.5,27.5,24.5,31.3,31.3,31.3,27.5,31.3,27.5,27.5,27.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3
15,2304.0,182.1,115.5,92.8,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3
16,75.2,50.9,36.3,31.3,31.3,24.5,27.5,24.5,31.3,31.3,31.3,31.3,27.5,27.5,27.5,31.3,27.5,31.3,31.3,27.5,31.3,31.3,27.5,31.3,31.3
17,20.3,20.3,24.5,22.1,42.7,36.3,36.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,27.5,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
18,50.9,36.3,36.3,36.3,31.3,27.5,24.5,31.3,31.3,31.3,27.5,31.3,27.5,27.5,27.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,27.5,31.3,31.3
