,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
28,50.9,42.7,42.7,36.3,36.3,31.3,31.3,31.3,27.5,24.5,24.5,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3
29,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,31.3,27.5,31.3,31.3,31.3
30,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3
31,75.2,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
32,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,36.3,36.3,36.3,36.3,31.3,31.3,31.3
33,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,36.3,31.3,31.3,31.3
34,75.2,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3
35,230.4,144.6,144.6,115.5,115.5,92.8,92.8,92.8,75.2,61.6,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,50.9,50.9
36,230.4,230.4,182.1,144.6,144.6,115.5,115.5,92.8,92.8,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,61.6,50.9,50.9,50.9
37,230.4,144.6,144.6,115.5,115.5,115.5,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9
38,144.6,115.5,115.5,92.8,75.2,75.2,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3
39,115.5,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3
40,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3
41,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3
42,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
43,31.3,27.5,24.5,24.5,22.1,22.1,22.1,27.5,24.5,27.5,27.5,27.5,27.5,24.5,31.3,31.3,27.5,36.3,31.3,31.3,31.3
44,24.5,22.1,22.1,20.3,20.3,20.3,20.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
45,27.5,24.5,24.5,22.1,22.1,22.1,24.5,24.5,24.5,22.1,24.5,24.5,24.5,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3
46,31.3,27.5,24.5,24.5,24.5,22.1,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
47,18.9,17.8,17.8,18.9,18.9,18.9,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,36.3,36.3,36.3,36.3
