,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,36.3,31.3,31.3,27.5,27.5,24.5,36.3,36.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3,31.3,31.3
1,22.1,20.3,20.3,20.3,20.3,20.3,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
2,17.8,17.8,17.8,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,27.5,27.5,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
3,18.9,17.8,17.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,42.7,42.7,36.3,36.3,36.3,36.3,42.7,36.3,36.3
4,18.9,17.8,20.3,20.3,20.3,24.5,24.5,24.5,24.5,36.3,36.3,36.3,31.3,31.3,31.3,36.3,31.3,36.3,31.3,36.3,36.3,36.3
5,17.8,17.8,36.3,36.3,31.3,31.3,31.3,27.5,24.5,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,42.7,42.7,36.3,36.3
6,15.8,17.0,92.8,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,42.7,42.7
7,15.4,31.3,24.5,24.5,24.5,22.1,22.1,24.5,24.5,24.5,24.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3
8,15.4,92.8,92.8,75.2,75.2,61.6,61.6,61.6,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,42.7,36.3,36.3,36.3
9,17.0,17.0,31.3,31.3,27.5,24.5,24.5,24.5,27.5,24.5,27.5,27.5,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
10,20.3,20.3,18.9,17.8,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
11,22.1,20.3,20.3,20.3,24.5,24.5,24.5,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3
12,31.3,27.5,24.5,24.5,24.5,24.5,22.1,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,42.7,36.3,36.3,36.3
13,75.2,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,31.3,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3
14,75.2,61.6,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
15,115.5,115.5,92.8,75.2,75.2,61.6,61.6,61.6,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
16,230.4,182.1,144.6,115.5,115.5,115.5,92.8,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,50.9
