,0,1,2,3,4,5
0,31.3,36.3,36.3,31.3,36.3,31.3
1,20.3,24.5,50.9,36.3,36.3,31.3
2,17.8,31.3,36.3,31.3,75.2,42.7
3,17.0,31.3,36.3,24.5,61.6,31.3
4,15.1,36.3,42.7,24.5,42.7,31.3
5,15.1,31.3,42.7,31.3,42.7,36.3
6,17.0,31.3,42.7,50.9,24.5,31.3
7,17.0,61.6,36.3,61.6,24.5,50.9
8,15.8,50.9,27.5,50.9,27.5,50.9
9,15.1,42.7,36.3,75.2,27.5,42.7
10,15.1,50.9,42.7,50.9,31.3,36.3
11,17.8,31.3,92.8,42.7,50.9,27.5
12,22.1,31.3,50.9,61.6,50.9,31.3
13,36.3,50.9,27.5,42.7,36.3,36.3
14,36.3,50.9,42.7,42.7,50.9,50.9
15,92.8,50.9,36.3,36.3,31.3,36.3
16,144.6,36.3,50.9,31.3,36.3,36.3
17,92.8,36.3,36.3,36.3,36.3,36.3
18,75.2,36.3,36.3,50.9,36.3,36.3
19,75.2,50.9,42.7,36.3,42.7,36.3
20,61.6,36.3,31.3,36.3,36.3,50.9
21,31.3,36.3,36.3,50.9,42.7,50.9
22,50.9,31.3,42.7,42.7,31.3,31.3
23,50.9,31.3,42.7,50.9,36.3,50.9
24,92.8,36.3,31.3,31.3,36.3,50.9
25,75.2,31.3,36.3,36.3,31.3,42.7
26,115.5,36.3,50.9,42.7,36.3,36.3
27,92.8,36.3,42.7,31.3,36.3,36.3
28,50.9,61.6,50.9,36.3,31.3,50.9
29,92.8,42.7,42.7,36.3,36.3,50.9
30,115.5,36.3,31.3,27.5,36.3,31.3
31,144.6,50.9,36.3,31.3,36.3,36.3
32,182.1,36.3,42.7,31.3,31.3,31.3
33,144.6,36.3,31.3,31.3,50.9,36.3
34,115.5,42.7,31.3,27.5,61.6,36.3
35,144.6,50.9,42.7,31.3,36.3,42.7
36,144.6,42.7,42.7,36.3,36.3,50.9
37,230.4,50.9,61.6,42.7,36.3,50.9
38,230.4,50.9,42.7,42.7,36.3,42.7
39,144.6,50.9,42.7,50.9,42.7,36.3
40,115.5,50.9,36.3,42.7,50.9,42.7
41,50.9,50.9,36.3,50.9,42.7,36.3
42,36.3,61.6,36.3,50.9,31.3,61.6
43,42.7,24.5,31.3,36.3,36.3,31.3
44,31.3,31.3,24.5,36.3,36.3,36.3
45,20.3,36.3,36.3,50.9,92.8,36.3
46,22.1,31.3,31.3,36.3,50.9,36.3
47,20.3,31.3,61.6,50.9,50.9,36.3
