,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.2,2.2,2.2,2.2,2.2,2.2
2,3.3,3.3,3.3,3.3,3.3,3.3
3,3.3,3.3,3.3,3.3,3.3,3.3
4,3.45,3.45,3.45,3.45,3.45,3.45
5,3.35,3.35,3.35,3.35,3.35,3.35
6,0.0,0.0,0.0,0.0,0.0,0.0
7,4.8,4.8,4.8,4.8,4.8,4.8
8,0.0,0.0,0.0,0.0,0.0,0.0
9,7.2,7.2,7.2,7.2,7.2,7.2
10,4.8,4.8,4.8,4.8,4.8,4.8
11,0.225,0.225,0.225,0.225,0.225,0.225
12,4.65,4.65,4.65,4.65,4.65,4.65
13,7.45,7.45,7.45,7.45,7.45,7.45
14,3.0,3.0,3.0,3.0,3.0,3.0
15,1.0,1.0,1.0,1.0,1.0,1.0
16,4.0,4.0,4.0,4.0,4.0,4.0
17,0.124,0.124,0.124,0.124,0.124,0.124
18,0.186,0.186,0.186,0.186,0.186,0.186
19,0.062,0.062,0.062,0.062,0.062,0.062
20,3.6,3.6,3.6,3.6,3.6,3.6
21,8.2,8.2,8.2,8.2,8.2,8.2
22,3.3,6.8,3.3,3.3,3.3,6.8
23,5.7,12.7,5.7,5.7,5.7,12.7
24,11.57,1.07,11.57,11.69,11.57,1.19
25,7.345,7.345,7.345,7.465,7.345,7.465
26,21.345,21.345,21.345,6.105,21.345,0.105
27,12.0,12.0,12.0,17.0,12.0,6.0
28,11.7,0.0,11.7,14.5,11.7,9.2
29,4.575,11.775,4.575,11.775,4.575,19.575
30,3.15,4.65,3.15,3.15,3.15,14.65
31,0.144,3.144,0.144,0.144,0.144,3.144
32,6.8,6.8,6.8,6.8,6.8,6.8
33,6.4,6.4,6.4,6.4,6.4,6.4
34,5.5,5.5,5.5,5.5,5.5,5.5
35,6.6,6.6,6.6,6.6,6.6,6.6
36,3.818,3.818,3.818,3.818,3.818,3.818
37,6.071,6.071,6.071,6.071,6.071,6.071
38,7.2,7.2,7.2,7.2,7.2,7.2
39,1.4,1.4,1.4,1.4,1.4,1.4
40,0.45,0.45,0.45,0.45,0.45,0.45
41,1.5,1.5,1.5,1.5,1.5,1.5
42,3.85,3.85,3.85,3.85,3.85,3.85
43,2.08,2.08,2.08,2.08,2.08,2.08
44,1.98,1.98,1.98,1.98,1.98,1.98
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
