,0,1,2,3,4,5
0,0.186,0.186,0.186,0.186,0.186,0.186
1,1.103,1.103,1.103,1.103,1.103,1.103
2,4.7,4.7,4.7,4.7,4.7,4.7
3,1.8,1.8,1.8,1.8,1.8,1.8
4,0.255,0.255,0.255,0.255,0.255,0.255
5,1.815,1.815,1.815,1.815,1.815,1.815
6,1.8,1.8,1.8,1.8,1.8,1.8
7,1.2,1.2,1.2,1.2,1.2,1.2
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.077,0.077,0.077,0.077,0.077,0.077
10,0.077,0.077,0.077,0.077,0.077,0.077
11,0.285,0.285,0.285,0.285,0.285,0.285
12,0.25,0.25,0.25,0.25,0.25,0.25
13,1.27,1.27,1.27,1.27,1.27,1.27
14,0.36,0.36,1.46,0.36,0.36,0.36
15,2.468,2.468,3.716,2.468,2.616,2.468
16,9.548,9.548,0.0,9.548,2.2,9.548
17,4.93,4.93,7.33,4.93,7.33,4.93
18,4.84,4.84,9.64,4.84,9.64,4.84
19,4.91,4.91,4.91,4.91,4.91,4.91
20,0.219,0.219,0.219,0.219,0.219,0.219
21,0.277,0.277,0.277,0.277,0.277,0.277
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,1.2,1.2,1.2,1.2,1.2,1.2
27,0.0,0.0,0.0,0.0,0.0,0.0
28,1.085,1.085,1.085,1.085,1.085,1.085
29,0.225,0.225,0.225,0.225,0.225,0.225
30,1.8,1.8,1.8,1.8,1.8,1.8
31,1.68,1.68,1.68,1.68,1.68,1.68
32,0.855,0.855,0.855,0.855,0.855,0.855
33,1.36,1.36,1.36,1.36,1.36,1.36
34,1.89,1.89,1.89,1.89,1.89,1.89
35,0.0,0.0,0.0,0.0,0.0,0.0
36,7.2,7.2,7.2,7.2,7.2,7.2
37,1.3,1.3,1.335,1.3,1.3,1.3
38,12.035,12.035,12.0,12.035,0.035,12.035
39,18.0,18.0,18.0,18.0,0.0,18.0
40,0.0,0.0,0.0,0.0,18.0,0.0
41,0.0,0.0,0.0,0.0,12.0,0.0
42,7.2,7.2,7.2,7.2,7.2,7.2
43,6.0,6.0,6.0,6.0,6.0,6.0
44,1.22,1.22,1.22,1.22,1.22,1.22
45,3.615,3.615,3.615,3.615,3.615,3.615
46,2.0,2.0,2.0,2.0,2.0,2.0
47,5.3,5.3,5.3,5.3,5.3,5.3
