,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,15.8,14.4,14.2,14.2,14.2,14.3,14.3,14.5,14.4,14.3,14.4,14.4,14.3,14.4,14.3,14.4,14.3,14.4,14.4,14.3,14.4,14.3,14.3,14.3,14.4,14.3,14.3,14.4,14.3,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.3,14.3
1,14.5,14.0,14.3,14.2,14.1,14.2,14.0,14.2,14.0,14.1,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.3,14.2,14.3,14.3,14.2,14.3,14.2,14.2,14.3,14.2,14.2,14.2
2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2
3,17.8,14.6,14.3,14.0,14.3,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2
4,14.0,14.5,14.2,14.0,14.1,14.1,14.0,14.1,14.0,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2
5,14.0,14.3,14.0,14.5,14.3,14.2,14.0,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.2
6,14.0,14.1,14.2,14.1,14.0,14.2,14.1,14.0,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.2,14.1,14.2,14.2
7,14.8,14.2,14.0,14.1,14.0,14.3,14.2,14.2,14.1,14.2,14.2,14.1,14.1,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.1,14.2,14.2
8,14.0,14.2,14.3,14.0,14.3,14.2,14.0,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.1,14.0,14.2,14.2,14.1,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1
9,14.0,14.0,14.0,14.0,14.2,14.0,14.4,14.3,14.2,14.2,14.1,14.1,14.0,14.2,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
